2026-07-09 00:58:03 | INFO     | root | src/logging_config.py:188 | 日志系统初始化完成，日志目录: logs
2026-07-09 00:58:03 | INFO     | root | src/logging_config.py:189 | 常规日志: logs/stock_analysis_20260709.log
2026-07-09 00:58:03 | INFO     | root | src/logging_config.py:190 | 调试日志: logs/stock_analysis_debug_20260709.log
2026-07-09 00:58:03 | INFO     | __main__ | main.py:1269 | ============================================================
2026-07-09 00:58:03 | INFO     | __main__ | main.py:1270 | A股自选股智能分析系统 启动
2026-07-09 00:58:03 | INFO     | __main__ | main.py:1271 | 运行时间: 2026-07-09 00:58:03
2026-07-09 00:58:03 | INFO     | __main__ | main.py:1272 | ============================================================
2026-07-09 00:58:10 | INFO     | src.services.stock_index_remote_service | src/services/stock_index_remote_service.py:246 | [stock-index] remote index refreshed: /home/runner/work/daily_stock_analysis/daily_stock_analysis/data/cache/stocks.index.json
2026-07-09 00:58:10 | INFO     | __main__ | main.py:516 | [stock-index] 分析前已刷新股票索引缓存: /home/runner/work/daily_stock_analysis/daily_stock_analysis/data/cache/stocks.index.json
2026-07-09 00:58:15 | INFO     | src.storage | src/storage.py:1189 | 数据库初始化完成: sqlite:////home/runner/work/daily_stock_analysis/daily_stock_analysis/data/stock_analysis.db
2026-07-09 00:58:15 | INFO     | data_provider.tushare_fetcher | data_provider/tushare_fetcher.py:169 | Tushare API 初始化成功
2026-07-09 00:58:15 | INFO     | data_provider.tushare_fetcher | data_provider/tushare_fetcher.py:200 | ✅ 检测到 TUSHARE_TOKEN 且 API 初始化成功，Tushare 数据源优先级提升为最高 (Priority -1)
2026-07-09 00:58:15 | INFO     | data_provider.base | data_provider/base.py:1232 | 已初始化 8 个数据源（按优先级）: TushareFetcher(P-1), EfinanceFetcher(P0), TencentFetcher(P0), AkshareFetcher(P1), PytdxFetcher(P2), TickFlowFetcher(P2), BaostockFetcher(P3), YfinanceFetcher(P4)
2026-07-09 00:58:15 | INFO     | src.analyzer | src/analyzer.py:2548 | Analyzer LLM: litellm initialized (model=openai/deepseek-v4-flash)
2026-07-09 00:58:15 | WARNING  | src.notification_sender.feishu_sender | src/notification_sender/feishu_sender.py:105 | 无效的 FEISHU_DOMAIN=，回退为 feishu
2026-07-09 00:58:15 | INFO     | src.notification | src/notification.py:263 | 已配置 1 个通知渠道：飞书
2026-07-09 00:58:15 | INFO     | src.search_service | src/search_service.py:2307 | 已配置 Bocha 搜索，共 1 个 API Key
2026-07-09 00:58:15 | INFO     | src.search_service | src/search_service.py:2312 | 已配置 Tavily 搜索，共 1 个 API Key
2026-07-09 00:58:15 | INFO     | src.search_service | src/search_service.py:2322 | 已配置 SerpAPI 搜索，共 1 个 API Key
2026-07-09 00:58:15 | INFO     | src.search_service | src/search_service.py:2339 | 已启用 SearXNG 公共实例自动发现模式
2026-07-09 00:58:15 | INFO     | src.search_service | src/search_service.py:2355 | 新闻时效策略已启用: profile=short, profile_days=3, NEWS_MAX_AGE_DAYS=3, effective_window=3
2026-07-09 00:58:15 | INFO     | src.core.pipeline | src/core/pipeline.py:248 | 调度器初始化完成，最大并发数: 6
2026-07-09 00:58:15 | INFO     | src.core.pipeline | src/core/pipeline.py:249 | 已启用技术分析引擎（均线/趋势/量价指标）
2026-07-09 00:58:15 | INFO     | src.core.pipeline | src/core/pipeline.py:252 | 实时行情已启用 (优先级: tickflow,tencent,akshare_sina,efinance,akshare_em)
2026-07-09 00:58:15 | INFO     | src.core.pipeline | src/core/pipeline.py:256 | 筹码分布分析已启用
2026-07-09 00:58:15 | INFO     | src.core.pipeline | src/core/pipeline.py:262 | 搜索服务已启用
2026-07-09 00:58:15 | INFO     | src.services.daily_market_context | src/services/daily_market_context.py:120 | 跳过多市场或不支持区域的大盘上下文复用: region=cn,hk,us,jp,kr
2026-07-09 00:58:15 | INFO     | src.services.daily_market_context | src/services/daily_market_context.py:120 | 跳过多市场或不支持区域的大盘上下文复用: region=cn,hk,us,jp,kr
2026-07-09 00:58:15 | INFO     | src.core.pipeline | src/core/pipeline.py:2886 | ===== 开始分析 23 只股票 =====
2026-07-09 00:58:15 | INFO     | src.core.pipeline | src/core/pipeline.py:2887 | 股票列表: 688549, 688981, 002747, 688385, 300604, 688126, 000831, 603178, 600276, 601899, 002261, 688396, 600584, 600460, 300260, 600010, 302132, 002156, 000725, 002049, 300274, 002466, 300763
2026-07-09 00:58:15 | INFO     | src.core.pipeline | src/core/pipeline.py:2888 | 并发数: 6, 模式: 完整分析
2026-07-09 00:58:15 | INFO     | data_provider.tickflow_fetcher | data_provider/tickflow_fetcher.py:638 | [TickFlowFetcher] batch daily K-line is not available; fallback to single requests
2026-07-09 00:58:15 | INFO     | data_provider.tickflow_fetcher | data_provider/tickflow_fetcher.py:641 | [TickFlowFetcher] batch daily prefetch complete: cached=0 total=23 batches=1
2026-07-09 00:58:15 | INFO     | data_provider.base | data_provider/base.py:1568 | [预取] component=realtime_prefetch action=start stock_count=23 prefetch_source=tickflow first_code=688549
2026-07-09 00:58:16 | WARNING  | data_provider.tickflow_fetcher | data_provider/tickflow_fetcher.py:739 | [TickFlowFetcher] batch realtime quote failed: 标的数量超限: 23 (最大: 5)
2026-07-09 00:58:16 | INFO     | src.core.pipeline | src/core/pipeline.py:2782 | ========== 开始处理 688549 ==========
2026-07-09 00:58:16 | INFO     | src.core.pipeline | src/core/pipeline.py:2782 | ========== 开始处理 688981 ==========
2026-07-09 00:58:16 | INFO     | src.core.pipeline | src/core/pipeline.py:2782 | ========== 开始处理 002747 ==========
2026-07-09 00:58:16 | INFO     | src.core.pipeline | src/core/pipeline.py:2782 | ========== 开始处理 688385 ==========
2026-07-09 00:58:16 | INFO     | src.core.pipeline | src/core/pipeline.py:2782 | ========== 开始处理 300604 ==========
2026-07-09 00:58:16 | INFO     | src.core.pipeline | src/core/pipeline.py:343 | 中巨芯-U(688549) 开始从数据源获取数据...
2026-07-09 00:58:16 | INFO     | src.core.pipeline | src/core/pipeline.py:2782 | ========== 开始处理 688126 ==========
2026-07-09 00:58:16 | INFO     | data_provider.base | data_provider/base.py:1413 | [数据源尝试 1/8] [TushareFetcher] 获取 688549...
2026-07-09 00:58:16 | INFO     | data_provider.base | data_provider/base.py:484 | [TushareFetcher] 开始获取 688549 日线数据: 范围=2026-05-10 ~ 2026-07-09
2026-07-09 00:58:16 | INFO     | src.core.pipeline | src/core/pipeline.py:343 | 长川科技(300604) 开始从数据源获取数据...
2026-07-09 00:58:16 | INFO     | src.core.pipeline | src/core/pipeline.py:343 | 埃斯顿(002747) 开始从数据源获取数据...
2026-07-09 00:58:16 | INFO     | src.core.pipeline | src/core/pipeline.py:343 | 中芯国际(688981) 开始从数据源获取数据...
2026-07-09 00:58:16 | INFO     | src.core.pipeline | src/core/pipeline.py:343 | 沪硅产业(688126) 开始从数据源获取数据...
2026-07-09 00:58:16 | INFO     | data_provider.base | data_provider/base.py:1413 | [数据源尝试 1/8] [TushareFetcher] 获取 300604...
2026-07-09 00:58:16 | INFO     | data_provider.base | data_provider/base.py:1413 | [数据源尝试 1/8] [TushareFetcher] 获取 688981...
2026-07-09 00:58:16 | INFO     | src.core.pipeline | src/core/pipeline.py:343 | 复旦微电(688385) 开始从数据源获取数据...
2026-07-09 00:58:16 | INFO     | data_provider.base | data_provider/base.py:1413 | [数据源尝试 1/8] [TushareFetcher] 获取 002747...
2026-07-09 00:58:16 | INFO     | data_provider.base | data_provider/base.py:1413 | [数据源尝试 1/8] [TushareFetcher] 获取 688126...
2026-07-09 00:58:16 | INFO     | data_provider.base | data_provider/base.py:1413 | [数据源尝试 1/8] [TushareFetcher] 获取 688385...
2026-07-09 00:58:17 | WARNING  | data_provider.tushare_fetcher | data_provider/tushare_fetcher.py:512 | Tushare 配额可能超限: 抱歉，您没有接口(daily)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
2026-07-09 00:58:17 | ERROR    | data_provider.base | data_provider/base.py:521 | [TushareFetcher] 688549 获取失败: 范围=2026-05-10 ~ 2026-07-09, error_type=Exception, elapsed=0.75s, reason=Tushare 配额超限: 抱歉，您没有接口(daily)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
2026-07-09 00:58:17 | WARNING  | data_provider.base | data_provider/base.py:1474 | [数据源失败 1/8] [TushareFetcher] 688549: error_type=Exception, reason=[TushareFetcher] 688549: Tushare 配额超限: 抱歉，您没有接口(daily)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
2026-07-09 00:58:17 | INFO     | data_provider.base | data_provider/base.py:484 | [TushareFetcher] 开始获取 300604 日线数据: 范围=2026-05-10 ~ 2026-07-09
2026-07-09 00:58:17 | INFO     | data_provider.base | data_provider/base.py:1482 | [数据源切换] 688549: [TushareFetcher] -> [EfinanceFetcher]
2026-07-09 00:58:17 | INFO     | data_provider.base | data_provider/base.py:1413 | [数据源尝试 2/8] [EfinanceFetcher] 获取 688549...
2026-07-09 00:58:17 | INFO     | data_provider.base | data_provider/base.py:484 | [EfinanceFetcher] 开始获取 688549 日线数据: 范围=2026-05-10 ~ 2026-07-09
2026-07-09 00:58:17 | WARNING  | data_provider.tushare_fetcher | data_provider/tushare_fetcher.py:512 | Tushare 配额可能超限: 抱歉，您没有接口(daily)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
2026-07-09 00:58:17 | ERROR    | data_provider.base | data_provider/base.py:521 | [TushareFetcher] 300604 获取失败: 范围=2026-05-10 ~ 2026-07-09, error_type=Exception, elapsed=0.52s, reason=Tushare 配额超限: 抱歉，您没有接口(daily)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
2026-07-09 00:58:17 | WARNING  | data_provider.base | data_provider/base.py:1474 | [数据源失败 1/8] [TushareFetcher] 300604: error_type=Exception, reason=[TushareFetcher] 300604: Tushare 配额超限: 抱歉，您没有接口(daily)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
2026-07-09 00:58:17 | INFO     | data_provider.base | data_provider/base.py:484 | [TushareFetcher] 开始获取 688981 日线数据: 范围=2026-05-10 ~ 2026-07-09
2026-07-09 00:58:17 | INFO     | data_provider.base | data_provider/base.py:1482 | [数据源切换] 300604: [TushareFetcher] -> [EfinanceFetcher]
2026-07-09 00:58:17 | INFO     | data_provider.base | data_provider/base.py:1413 | [数据源尝试 2/8] [EfinanceFetcher] 获取 300604...
2026-07-09 00:58:18 | WARNING  | data_provider.tushare_fetcher | data_provider/tushare_fetcher.py:512 | Tushare 配额可能超限: 抱歉，您没有接口(daily)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
2026-07-09 00:58:18 | ERROR    | data_provider.base | data_provider/base.py:521 | [TushareFetcher] 688981 获取失败: 范围=2026-05-10 ~ 2026-07-09, error_type=Exception, elapsed=0.43s, reason=Tushare 配额超限: 抱歉，您没有接口(daily)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
2026-07-09 00:58:18 | WARNING  | data_provider.base | data_provider/base.py:1474 | [数据源失败 1/8] [TushareFetcher] 688981: error_type=Exception, reason=[TushareFetcher] 688981: Tushare 配额超限: 抱歉，您没有接口(daily)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
2026-07-09 00:58:18 | INFO     | data_provider.base | data_provider/base.py:484 | [TushareFetcher] 开始获取 002747 日线数据: 范围=2026-05-10 ~ 2026-07-09
2026-07-09 00:58:18 | WARNING  | data_provider.realtime_types | data_provider/realtime_types.py:421 | [熔断器] daily_data:cn:TushareFetcher 连续失败 3 次，进入熔断状态 (冷却 300.0s)
2026-07-09 00:58:18 | WARNING  | data_provider.realtime_types | data_provider/realtime_types.py:424 | [熔断器] 最后错误: [TushareFetcher] 688981: Tushare 配额超限: 抱歉，您没有接口(daily)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
2026-07-09 00:58:18 | INFO     | data_provider.base | data_provider/base.py:1482 | [数据源切换] 688981: [TushareFetcher] -> [EfinanceFetcher]
2026-07-09 00:58:18 | INFO     | data_provider.base | data_provider/base.py:1413 | [数据源尝试 2/8] [EfinanceFetcher] 获取 688981...
2026-07-09 00:58:18 | WARNING  | data_provider.tushare_fetcher | data_provider/tushare_fetcher.py:512 | Tushare 配额可能超限: 抱歉，您没有接口(daily)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
2026-07-09 00:58:18 | ERROR    | data_provider.base | data_provider/base.py:521 | [TushareFetcher] 002747 获取失败: 范围=2026-05-10 ~ 2026-07-09, error_type=Exception, elapsed=0.42s, reason=Tushare 配额超限: 抱歉，您没有接口(daily)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
2026-07-09 00:58:18 | WARNING  | data_provider.base | data_provider/base.py:1474 | [数据源失败 1/8] [TushareFetcher] 002747: error_type=Exception, reason=[TushareFetcher] 002747: Tushare 配额超限: 抱歉，您没有接口(daily)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
2026-07-09 00:58:18 | INFO     | data_provider.base | data_provider/base.py:484 | [TushareFetcher] 开始获取 688126 日线数据: 范围=2026-05-10 ~ 2026-07-09
2026-07-09 00:58:18 | WARNING  | data_provider.realtime_types | data_provider/realtime_types.py:421 | [熔断器] daily_data:cn:TushareFetcher 连续失败 4 次，进入熔断状态 (冷却 300.0s)
2026-07-09 00:58:18 | WARNING  | data_provider.realtime_types | data_provider/realtime_types.py:424 | [熔断器] 最后错误: [TushareFetcher] 002747: Tushare 配额超限: 抱歉，您没有接口(daily)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
2026-07-09 00:58:18 | INFO     | data_provider.base | data_provider/base.py:1482 | [数据源切换] 002747: [TushareFetcher] -> [EfinanceFetcher]
2026-07-09 00:58:18 | INFO     | data_provider.base | data_provider/base.py:1413 | [数据源尝试 2/8] [EfinanceFetcher] 获取 002747...
2026-07-09 00:58:18 | WARNING  | data_provider.tushare_fetcher | data_provider/tushare_fetcher.py:512 | Tushare 配额可能超限: 抱歉，您没有接口(daily)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
2026-07-09 00:58:18 | ERROR    | data_provider.base | data_provider/base.py:521 | [TushareFetcher] 688126 获取失败: 范围=2026-05-10 ~ 2026-07-09, error_type=Exception, elapsed=0.53s, reason=Tushare 配额超限: 抱歉，您没有接口(daily)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
2026-07-09 00:58:18 | WARNING  | data_provider.base | data_provider/base.py:1474 | [数据源失败 1/8] [TushareFetcher] 688126: error_type=Exception, reason=[TushareFetcher] 688126: Tushare 配额超限: 抱歉，您没有接口(daily)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
2026-07-09 00:58:18 | INFO     | data_provider.base | data_provider/base.py:484 | [TushareFetcher] 开始获取 688385 日线数据: 范围=2026-05-10 ~ 2026-07-09
2026-07-09 00:58:18 | WARNING  | data_provider.realtime_types | data_provider/realtime_types.py:421 | [熔断器] daily_data:cn:TushareFetcher 连续失败 5 次，进入熔断状态 (冷却 300.0s)
2026-07-09 00:58:18 | WARNING  | data_provider.realtime_types | data_provider/realtime_types.py:424 | [熔断器] 最后错误: [TushareFetcher] 688126: Tushare 配额超限: 抱歉，您没有接口(daily)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
2026-07-09 00:58:18 | INFO     | data_provider.base | data_provider/base.py:1482 | [数据源切换] 688126: [TushareFetcher] -> [EfinanceFetcher]
2026-07-09 00:58:18 | INFO     | data_provider.base | data_provider/base.py:1413 | [数据源尝试 2/8] [EfinanceFetcher] 获取 688126...
2026-07-09 00:58:19 | WARNING  | data_provider.tushare_fetcher | data_provider/tushare_fetcher.py:512 | Tushare 配额可能超限: 抱歉，您没有接口(daily)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
2026-07-09 00:58:19 | ERROR    | data_provider.base | data_provider/base.py:521 | [TushareFetcher] 688385 获取失败: 范围=2026-05-10 ~ 2026-07-09, error_type=Exception, elapsed=0.52s, reason=Tushare 配额超限: 抱歉，您没有接口(daily)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
2026-07-09 00:58:19 | WARNING  | data_provider.base | data_provider/base.py:1474 | [数据源失败 1/8] [TushareFetcher] 688385: error_type=Exception, reason=[TushareFetcher] 688385: Tushare 配额超限: 抱歉，您没有接口(daily)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
2026-07-09 00:58:19 | WARNING  | data_provider.realtime_types | data_provider/realtime_types.py:421 | [熔断器] daily_data:cn:TushareFetcher 连续失败 6 次，进入熔断状态 (冷却 300.0s)
2026-07-09 00:58:19 | WARNING  | data_provider.realtime_types | data_provider/realtime_types.py:424 | [熔断器] 最后错误: [TushareFetcher] 688385: Tushare 配额超限: 抱歉，您没有接口(daily)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
2026-07-09 00:58:19 | INFO     | data_provider.base | data_provider/base.py:1482 | [数据源切换] 688385: [TushareFetcher] -> [EfinanceFetcher]
2026-07-09 00:58:19 | INFO     | data_provider.base | data_provider/base.py:1413 | [数据源尝试 2/8] [EfinanceFetcher] 获取 688385...
2026-07-09 00:58:19 | INFO     | data_provider.efinance_fetcher | data_provider/efinance_fetcher.py:419 | [API调用] ef.stock.get_quote_history(stock_codes=688549, beg=20260510, end=20260709, klt=101, fqt=1)
2026-07-09 00:58:21 | WARNING  | urllib3.connectionpool | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/urllib3/connectionpool.py:869 | Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'RemoteDisconnected('Remote end closed connection without response')': /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf11%2Cf12%2Cf13&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&beg=20260510&end=20260709&rtntype=6&secid=1.688549&klt=101&fqt=1
2026-07-09 00:58:21 | WARNING  | urllib3.connectionpool | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/urllib3/connectionpool.py:869 | Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'RemoteDisconnected('Remote end closed connection without response')': /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf11%2Cf12%2Cf13&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&beg=20260510&end=20260709&rtntype=6&secid=1.688549&klt=101&fqt=1
2026-07-09 00:58:22 | WARNING  | urllib3.connectionpool | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/urllib3/connectionpool.py:869 | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'RemoteDisconnected('Remote end closed connection without response')': /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf11%2Cf12%2Cf13&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&beg=20260510&end=20260709&rtntype=6&secid=1.688549&klt=101&fqt=1
2026-07-09 00:58:22 | WARNING  | urllib3.connectionpool | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/urllib3/connectionpool.py:869 | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'RemoteDisconnected('Remote end closed connection without response')': /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf11%2Cf12%2Cf13&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&beg=20260510&end=20260709&rtntype=6&secid=1.688549&klt=101&fqt=1
2026-07-09 00:58:23 | WARNING  | urllib3.connectionpool | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/urllib3/connectionpool.py:869 | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'RemoteDisconnected('Remote end closed connection without response')': /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf11%2Cf12%2Cf13&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&beg=20260510&end=20260709&rtntype=6&secid=1.688549&klt=101&fqt=1
2026-07-09 00:58:24 | ERROR    | data_provider.efinance_fetcher | data_provider/efinance_fetcher.py:473 | Eastmoney 历史K线接口失败: endpoint=push2his.eastmoney.com/api/qt/stock/kline/get, stock_code=688549, market_type=stock, range=20260510~20260709, category=remote_disconnect, error_type=ConnectionError, elapsed=5.25s, detail=HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf11%2Cf12%2Cf13&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&beg=20260510&end=20260709&rtntype=6&secid=1.688549&klt=101&fqt=1 (Caused by ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')))
2026-07-09 00:58:24 | ERROR    | data_provider.base | data_provider/base.py:521 | [EfinanceFetcher] 688549 获取失败: 范围=2026-05-10 ~ 2026-07-09, error_type=ProtocolError, elapsed=7.74s, reason=efinance 获取数据失败: Eastmoney 历史K线接口失败: endpoint=push2his.eastmoney.com/api/qt/stock/kline/get, stock_code=688549, market_type=stock, range=20260510~20260709, category=remote_disconnect, error_type=ConnectionError, elapsed=5.25s, detail=HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf11%2Cf12%2Cf13&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&beg=20260510&end=20260709&rtntype=6&secid=1.688549&klt=101&fqt=1 (Caused by ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')))
2026-07-09 00:58:24 | WARNING  | data_provider.base | data_provider/base.py:1474 | [数据源失败 2/8] [EfinanceFetcher] 688549: error_type=ProtocolError, reason=[EfinanceFetcher] 688549: efinance 获取数据失败: Eastmoney 历史K线接口失败: endpoint=push2his.eastmoney.com/api/qt/stock/kline/get, stock_code=688549, market_type=stock, range=20260510~20260709, category=remote_disconnect, error_type=ConnectionError, elapsed=5.25s, detail=HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf11%2Cf12%2Cf13&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&beg=20260510&end=20260709&rtntype=6&secid=1.688549&klt=101&fqt=1 (Caused by ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')))
2026-07-09 00:58:24 | INFO     | data_provider.base | data_provider/base.py:484 | [EfinanceFetcher] 开始获取 300604 日线数据: 范围=2026-05-10 ~ 2026-07-09
2026-07-09 00:58:24 | INFO     | data_provider.base | data_provider/base.py:1482 | [数据源切换] 688549: [EfinanceFetcher] -> [TencentFetcher]
2026-07-09 00:58:24 | INFO     | data_provider.base | data_provider/base.py:1413 | [数据源尝试 3/8] [TencentFetcher] 获取 688549...
2026-07-09 00:58:24 | INFO     | data_provider.base | data_provider/base.py:484 | [TencentFetcher] 开始获取 688549 日线数据: 范围=2026-05-10 ~ 2026-07-09
2026-07-09 00:58:26 | INFO     | data_provider.base | data_provider/base.py:512 | [TencentFetcher] 688549 获取成功: 范围=2026-05-10 ~ 2026-07-09, rows=42, elapsed=1.39s
2026-07-09 00:58:26 | INFO     | data_provider.base | data_provider/base.py:1439 | [数据源完成] 688549 使用 [TencentFetcher] 获取成功: rows=42, elapsed=9.89s
2026-07-09 00:58:26 | INFO     | src.storage | src/storage.py:2511 | 保存 688549 数据成功，新增 42 条
2026-07-09 00:58:26 | INFO     | src.core.pipeline | src/core/pipeline.py:351 | 中巨芯-U(688549) 数据保存成功（来源: TencentFetcher，新增 42 条）
2026-07-09 00:58:26 | INFO     | src.core.market_review | src/core/market_review.py:217 | [MarketReview] component=market_review action=start trigger_source=daily_market_context query_id=market_context_84caf675d2fa45668d8b75d1a069005a_cn region=cn
2026-07-09 00:58:26 | INFO     | src.core.market_review | src/core/market_review.py:271 | [MarketReview] component=market_review action=build_report trigger_source=daily_market_context query_id=market_context_84caf675d2fa45668d8b75d1a069005a_cn region=cn label=A 股
2026-07-09 00:58:26 | INFO     | data_provider.tushare_fetcher | data_provider/tushare_fetcher.py:169 | Tushare API 初始化成功
2026-07-09 00:58:26 | INFO     | data_provider.tushare_fetcher | data_provider/tushare_fetcher.py:200 | ✅ 检测到 TUSHARE_TOKEN 且 API 初始化成功，Tushare 数据源优先级提升为最高 (Priority -1)
2026-07-09 00:58:26 | INFO     | data_provider.base | data_provider/base.py:1232 | 已初始化 8 个数据源（按优先级）: TushareFetcher(P-1), EfinanceFetcher(P0), TencentFetcher(P0), AkshareFetcher(P1), PytdxFetcher(P2), TickFlowFetcher(P2), BaostockFetcher(P3), YfinanceFetcher(P4)
2026-07-09 00:58:26 | INFO     | src.market_analyzer | src/market_analyzer.py:1782 | ========== 开始大盘复盘分析 ==========
2026-07-09 00:58:26 | INFO     | src.market_analyzer | src/market_analyzer.py:457 | [大盘] component=market_review region=cn action=get_main_indices status=start
2026-07-09 00:58:26 | INFO     | data_provider.base | data_provider/base.py:2467 | [TickFlowFetcher] 获取指数行情成功
2026-07-09 00:58:26 | INFO     | src.market_analyzer | src/market_analyzer.py:483 | [大盘] component=market_review region=cn action=get_main_indices status=success count=6
2026-07-09 00:58:26 | INFO     | src.market_analyzer | src/market_analyzer.py:497 | [大盘] component=market_review region=cn action=get_market_stats status=start
2026-07-09 00:58:26 | INFO     | data_provider.base | data_provider/base.py:2487 | [MarketStats] component=market_stats action=start purpose=market_review:cn
